Id,Lat,Lng,Name,Count
123708040,25.081699371,121.548858643,"麥當勞北安店 McDonald's",1
138413923,25.037139381,121.549128782,"Ring Private Club",3
287816702,24.981782962,121.559038033,"叁號茶子",1
268737734,25.033951305,121.550548895,"Bach Inspiration 巴哈靈感音樂學習中心",1
373114,25.081585052,121.556336681,"焱Sonoma鐵板燒烤牛排館",15
65387240,24.998913443,121.495313644,"原燒優質原味燒肉",42
236964310,25.052145092,121.513987059,"士林夜市",3
239264259,25.093876522,121.526005952,"Taipei",1
5247081,25.032732116,121.560772955,"新光曼哈頓大樓",9
16158896,25.018446,121.48177,"Guang Fu St",4
2935470,25.058730673,121.539230619,"小江日本料理",36
258747040,24.999246917,121.485895551,"中和探索會館",5
109724,25.034085784,121.534535377,"小林食堂",7
272420511,25.083299569,121.554401339,"星巴克 大直植福門市",1
14679300,24.951887396,121.5427093,"家",2
206928456,25.032020753,121.543815941,"Roxy 99",36
12776757,25.007942407,121.522331652,"大仁耳鼻喉科",2
105280282,24.971149142,121.533624406,"鴨片粉圓",1
64138551,25.021654,121.533335,"Fucking都更公園",1
112261312,25.035049967,121.497188393,"台北地下街 美食街",7
95729358,25.042727,121.521823,"博世牙醫",2
239951610,25.027290315,121.51599894,"Le Pont 樂朋烘焙手作教室",1
279069513,25.052008775,121.534379561,"Cheers雜誌",3
576412,25.031006842,121.554512227,"通化肉圓",17
298400,25.083514617,121.602585912,"捷運大湖公園站 MRT Dahu Park Station",57
100259276,25.025259,121.553526,"老媽子麵店",2
249727759,25.043105021,121.54699192,"Howfun Hair Salon",2
780226,25.043928877,121.551915065,"Woo Taipei",25
244989859,25.045396093,121.502985574,"汐止食養山房",3
213102064,25.061862045,121.546757696,"Quel Café - 克爾‧何等的咖啡",2
241989804,25.046011286,121.515002567,"Perfume Dance 跳舞香水站前店",3
274091488,25.124758561,121.471040524,"ASUS gym",1
30938892,25.080859865,121.565461574,"Primax 致伸科技",13
63450450,25.036755899,121.549112058,"中山醫院 (Chung Shan Hospital)",2
116898680,25.026037792,121.55109107,"Oriental Curry（遠企B2美食街）",5
37674530,25.045778052,121.509658463,"台北車站千葉火鍋",2
270733790,25.12160791,121.587656074,"千蝶谷昆蟲生態農場",5
113406051,25.080111965,121.579752244,"貴族世家牛排",2
34371310,25.039830863,121.556704589,"麻膳堂",15
1125355,24.98388,121.551751,"遠東世紀ABC",5
382949,25.033345636,121.548939241,"登琪爾敦南店",1
241938422,25.028169769,121.505940429,"南機場 臭老闆 蒸的臭豆腐",1
88672785,25.056674,121.552769,"战秋风",1
268725363,25.106104446,121.594626498,"白石森活有機休閒農場",1
256743623,25.134438537,121.469285481,"台北城市科技大學  操場",1
39642692,25.021439308,121.524928679,"八拾捌茶",8
1812521,25.082938455,121.546062639,"Maryjane Pizza",70
1312137,25.056338668,121.521920864,"春漾咖啡 Spring Café",28
79227786,24.999793333,121.539049225,"建築研究所",1
662014,25.023994312,121.552913961,"公車捷運六張犁",109
140398219,25.032816,121.561665,"Adidas101",6
276527072,25.04934421,121.550134075,"Silent Disco Taiwan",1
236788251,25.049682053,121.518266288,"Da'an District",12
197423336,25.02412315,121.552144671,"7-ELEVEn(技安門市)",2
116944353,25.049300159,121.519422764,"油桐花",1
239247202,24.952799986,121.509215271,"景文餐旅大樓H棟",24
343890,25.079974356,121.575426672,"內湖高工",152
19211877,25.041185,121.548062,"石碇",31
27187081,25.008127,121.471545,"港式佶軒",2
12447242,25.063216842,121.513584358,"華西街魯肉飯/清湯瓜仔肉羹湯",2
235459370,24.989109684,121.544830929,"世新大學女生宿舍",3
48285351,25.039493561,121.501983643,"Apple 203 Breakfast",2
89666527,25.067192,121.493129,"神戶牛排",4
124600790,25.03477377,121.5384471,"KFC 肯德基",1
10523645,25.063110285,121.551776748,"台北市立圖書館松山機場智慧圖書館",1
3336329,25.003009366,121.520660669,"蔡李陸咖啡商號",1
28729,25.027893983,121.500369608,"7-ELEVEN",3
9888921,25.055978023,121.508905612,"Lin Liu-hsin Puppet Theatre Museum",9
218665514,25.052003879,121.481972778,"三重幸福水漾公園",7
7111813,25.018262109,121.531963348,"頂好 Wellcome",3
247201558,25.035621265,121.561771073,"君悅Cheers",3
1409553,25.017243012,121.537383098,"台大椰林大道",300
11417737,24.988606011,121.564603185,"三老村",6
9387696,25.027784537,121.526063798,"七五巷姐妹花早餐店",2
276433439,25.019226857,121.471424633,"板橋華江公園籃球場",1
33476307,25.080205548,121.573861182,"中國信託銀行",1
266443824,25.029245734,121.545656274,"Banana Taipei",2
134049058,25.052834576,121.592759431,"姑姑家",2
1689214,25.043138,121.565822,"滾石移動",2
258399767,25.052305069,121.593227453,"好捲早午餐",1
105257196,25.021948131,121.535743071,"台大綜合體育館 Squash Court",42
70989300,24.99021982,121.506568956,"景安黃昏市場",5
240130435,24.992340028,121.520283101,"溫暖的家 (๑•́ ₃ •̀๑) 啾咪",2
461001,25.038372235,121.519472364,"中正運動中心",459
89163,25.100950366,121.539690374,"洞天花園",6
144942057,25.081227,121.497171,"三重五常邮局",1
2142782,25.05681916,121.598081138,"藤園日本料理",5
8488848,25.105800592,121.519871645,"我家(門前沒小河)",1
1157306,25.055195573,121.531957324,"陶板屋南京東店",12
129992,25.069789938,121.527680784,"新生高架橋",67
7749180,25.027438598,121.519482969,"百達富麗",7
279071524,25.040819137,121.506733192,"艾莉絲美甲美睫工作室",1
108586687,24.994138039,121.562412592,"文山復健科診所",3
3108520,25.078400336,121.583866372,"松青超市 內湖店",10
15387482,25.06491,121.511251,"花蓮扁食",1
71514425,25.013309,121.466429,"Hana Cafe 2",12
119461,25.010999424,121.464269757,"FE21' 遠東百貨板橋店",349
1049472,24.98740007,121.549315611,"國家考場",121
40881545,25.131050421,121.49899541,"牙口",14
22345111,25.047618,121.508326,"老劉牛肉麵攤",5
251203856,25.054113562,121.525105328,"晶華鐵板燒",8
98955478,25.063143147,121.56603335,"角子虎北方水餃館",13
88097467,25.057198486,121.487349691,"85度C菜寮店",2
5965527,25.02691,121.549254,"香格里拉遠東國際飯店 遠東宴會廳",105
72550,25.020556523,121.528358459,"Taipower Building MRT Station (台電大樓捷運站)",6
106417357,25.011334985,121.591310546,"福德公墓 植葬區",8
137039110,25.082492,121.571122,"疆敬酒",7
268691561,25.084705091,121.600498842,"大湖游泳池",1
